order,matched,files,rsi,total,percent,date,instrument,amountK,limit,stop,is_buy
H27L22_1,42,['eur_usd_long_15_1_2021.csv'],65,86,48.8372093,9/1/2021,EUR/USD,4,27,-22,TRUE
H55L65_0,14,[nan],54,18,77.77777778,8/2/2021,GBP/USD,8,65,-55,FALSE
H35L45_0,20,[nan],46,180,11.11111111,8/2/2021,EUR/JPY,2,45,-35,FALSE
H40L50_0,20,[nan],46,180,11.11111111,8/15/2021,EUR/JPY,2,50,-40,FALSE
H50L65_0,20,[nan],43,180,11.11111111,8/2/2021,EUR/JPY,2,65,-50,FALSE
H25L40_0,1,[nan],56,17,5.882352941,8/2/2021,AUD/USD,1,40,-25,FALSE
H30L35_0,1,[nan],46,17,5.882352941,8/2/2021,AUD/USD,1,35,-30,FALSE
H32L38_0,2,[nan],46,17,11.76470588,8/2/2021,AUD/USD,2,38,-32,FALSE
H30L47_0,20,[nan],42,180,11.11111111,8/3/2021,EUR/JPY,2,47,-30,FALSE
H35L45_0,20,[nan],46,180,11.11111111,8/3/2021,EUR/JPY,2,45,-35,FALSE
H40L50_0,20,[nan],46,180,11.11111111,8/3/2021,EUR/JPY,2,50,-40,FALSE
H50L65_0,20,[nan],43,180,11.11111111,8/3/2021,EUR/JPY,2,65,-50,FALSE
H35L45_0,5,[nan],46,45,11.11111111,8/5/2021,EUR/JPY,2,45,-35,FALSE
H40L50_0,5,[nan],46,45,11.11111111,8/5/2021,EUR/JPY,2,50,-40,FALSE
H50L65_0,5,[nan],43,45,11.11111111,8/5/2021,EUR/JPY,2,65,-50,FALSE
H35L45_0,4,[nan],46,36,11.11111111,8/5/2021,EUR/JPY,2,45,-35,FALSE
H40L50_0,4,[nan],46,36,11.11111111,8/5/2021,EUR/JPY,2,50,-40,FALSE
H50L65_0,4,[nan],43,36,11.11111111,8/5/2021,EUR/JPY,2,65,-50,FALSE
H48L67_0,1,[nan],53,10,10,8/8/2021,GBP/USD,1,67,-48,FALSE
H50L70_0,1,[nan],52,10,10,8/8/2021,GBP/USD,1,70,-50,FALSE
H55L65_0,1,[nan],54,10,10,8/8/2021,GBP/USD,1,65,-55,FALSE
H56L66_0,3,[nan],52,10,30,8/8/2021,GBP/USD,3,66,-56,FALSE
H24L31_0,2,[nan],54,18,11.11111111,8/8/2021,AUD/USD,2,31,-24,FALSE
H30L35_0,3,[nan],46,18,16.66666667,8/8/2021,AUD/USD,2,35,-30,FALSE
H32L38_0,6,[nan],46,18,33.33333333,8/8/2021,AUD/USD,4,38,-32,FALSE
H30L35_0,1,[nan],46,5,20,8/9/2021,AUD/USD,2,35,-30,FALSE
H32L38_0,2,[nan],46,5,40,8/9/2021,AUD/USD,4,38,-32,FALSE
H15L35_0,4,['eur_usd_short_15_1_2021.csv'],48,52,7.692307692,8/11/2021,EUR/USD,1,35,-15,FALSE
H20L30_0,4,['eur_usd_short_15_1_2021.csv'],47,52,7.692307692,8/11/2021,EUR/USD,1,30,-20,FALSE
H20L35_0,4,['eur_usd_short_15_1_2021.csv'],44,52,7.692307692,8/11/2021,EUR/USD,1,35,-20,FALSE
H20L40_0,4,['eur_usd_short_15_1_2021.csv'],46,52,7.692307692,8/16/2021,EUR/USD,1,40,-20,FALSE
H15L35_0,4,['eur_usd_short_15_1_2021.csv'],48,52,7.692307692,8/16/2021,EUR/USD,1,35,-15,FALSE
H20L30_0,4,['eur_usd_short_15_1_2021.csv'],47,52,7.692307692,8/16/2021,EUR/USD,1,30,-20,FALSE
H20L35_0,4,['eur_usd_short_15_1_2021.csv'],44,52,7.692307692,8/16/2021,EUR/USD,1,35,-20,FALSE
H20L40_0,4,['eur_usd_short_15_1_2021.csv'],46,52,7.692307692,8/16/2021,EUR/USD,1,40,-20,FALSE
H15L35_0,4,['eur_usd_short_15_1_2021.csv'],48,52,7.692307692,8/16/2021,EUR/USD,1,35,-15,FALSE
H20L30_0,4,['eur_usd_short_15_1_2021.csv'],47,52,7.692307692,8/16/2021,EUR/USD,1,30,-20,FALSE
H20L35_0,4,['eur_usd_short_15_1_2021.csv'],44,52,7.692307692,8/16/2021,EUR/USD,1,35,-20,FALSE
H20L40_0,4,['eur_usd_short_15_1_2021.csv'],46,52,7.692307692,8/16/2021,EUR/USD,1,40,-20,FALSE
H15L35_0,8,['eur_usd_short_15_1_2021.csv'],48,84,9.523809524,8/16/2021,EUR/USD,1,35,-15,FALSE
H20L30_0,8,['eur_usd_short_15_1_2021.csv'],47,84,9.523809524,8/16/2021,EUR/USD,1,30,-20,FALSE
H20L35_0,8,['eur_usd_short_15_1_2021.csv'],44,84,9.523809524,8/16/2021,EUR/USD,1,35,-20,FALSE
H20L40_0,8,['eur_usd_short_15_1_2021.csv'],46,84,9.523809524,8/16/2021,EUR/USD,1,40,-20,FALSE
